E- Stamps Rev Contribution %,District,Document Reg. Rev Contribution %,Documents Registered Rev,E-stamps Challans Rev
50.63%,Jangoan,49.37%,₹ 473726459,₹ 485770112
50.52%,Nirmal,49.48%,₹ 338583662,₹ 345679061
50.49%,Mancherial,49.51%,₹ 648893681,₹ 661727175
50.43%,Rangareddy,49.57%,₹ 37697750946,₹ 38349357618
50.40%,Kamareddy,49.60%,₹ 471629404,₹ 479194188
50.38%,Khammam,49.62%,₹ 1971647539,₹ 2002220314
50.37%,Mahabubnagar,49.63%,₹ 1066013551,₹ 1081759351
50.34%,Peddapalli,49.66%,₹ 610400730,₹ 618663557
50.31%,Mulugu,49.69%,₹ 217697250,₹ 220445520
50.29%,Narayanpet,49.71%,₹ 260164500,₹ 263221269
50.27%,Jagtial,49.73%,₹ 628898536,₹ 635617022
50.26%,Hanumakonda,49.74%,₹ 2817238587,₹ 2846856844
50.23%,Vikarabad,49.77%,₹ 513957911,₹ 518763002
50.22%,Jogulamba Gadwal,49.78%,₹ 328969228,₹ 331919414
50.21%,Siddipet,49.79%,₹ 1007632858,₹ 1016130830
50.20%,Yadadri Bhuvanagiri,49.80%,₹ 2167480603,₹ 2185270667
50.19%,Hyderabad,49.81%,₹ 14266012441,₹ 14374315032
50.18%,Rajanna Sircilla,49.82%,₹ 452637197,₹ 455893155
50.15%,Wanaparthy,49.85%,₹ 437147289,₹ 439781621
50.15%,Nalgonda,49.85%,₹ 1370570095,₹ 1378801930
50.13%,Nizamabad,49.87%,₹ 1441666957,₹ 1449452877
50.12%,Nagarkurnool,49.88%,₹ 500874055,₹ 503243357
50.08%,Karimnagar,49.92%,₹ 1550449161,₹ 1555554043
50.04%,Mahabubabad,49.96%,₹ 401471602,₹ 402178710
49.99%,Suryapet,50.01%,₹ 1025672569,₹ 1025231495
49.96%,Kumurambheem Asifabad,50.04%,₹ 75231587,₹ 75125612
49.96%,Sangareddy,50.04%,₹ 8273200321,₹ 8259605302
49.91%,Warangal,50.09%,₹ 252278092,₹ 251356586
49.59%,Adilabad,50.41%,₹ 396840845,₹ 390406044
49.53%,Medchal_Malkajgiri,50.47%,₹ 24043523530,₹ 23596183308
49.46%,Bhadradri Kothagudem,50.54%,₹ 292643450,₹ 286343125
48.87%,Medak,51.13%,₹ 694500305,₹ 663813464
