district,Estamps Revenue $,Doc Registration Revenue $
Rangareddy,₹ 38349357618.00,₹ 37697750946.00
Medchal_Malkajgiri,₹ 23596183308.00,₹ 24043523530.00
Hyderabad,₹ 14374315032.00,₹ 14266012441.00
Sangareddy,₹ 8259605302.00,₹ 8273200321.00
Hanumakonda,₹ 2846856844.00,₹ 2817238587.00
Yadadri Bhuvanagiri,₹ 2185270667.00,₹ 2167480603.00
Khammam,₹ 2002220314.00,₹ 1971647539.00
Karimnagar,₹ 1555554043.00,₹ 1550449161.00
Nizamabad,₹ 1449452877.00,₹ 1441666957.00
Nalgonda,₹ 1378801930.00,₹ 1370570095.00
Mahabubnagar,₹ 1081759351.00,₹ 1066013551.00
Suryapet,₹ 1025231495.00,₹ 1025672569.00
Siddipet,₹ 1016130830.00,₹ 1007632858.00
Medak,₹ 663813464.00,₹ 694500305.00
Mancherial,₹ 661727175.00,₹ 648893681.00
Jagtial,₹ 635617022.00,₹ 628898536.00
Peddapalli,₹ 618663557.00,₹ 610400730.00
Vikarabad,₹ 518763002.00,₹ 513957911.00
Nagarkurnool,₹ 503243357.00,₹ 500874055.00
Jangoan,₹ 485770112.00,₹ 473726459.00
Kamareddy,₹ 479194188.00,₹ 471629404.00
Rajanna Sircilla,₹ 455893155.00,₹ 452637197.00
Wanaparthy,₹ 439781621.00,₹ 437147289.00
Mahabubabad,₹ 402178710.00,₹ 401471602.00
Adilabad,₹ 390406044.00,₹ 396840845.00
Nirmal,₹ 345679061.00,₹ 338583662.00
Jogulamba Gadwal,₹ 331919414.00,₹ 328969228.00
Bhadradri Kothagudem,₹ 286343125.00,₹ 292643450.00
Narayanpet,₹ 263221269.00,₹ 260164500.00
Warangal,₹ 251356586.00,₹ 252278092.00
Mulugu,₹ 220445520.00,₹ 217697250.00
Kumurambheem Asifabad,₹ 75125612.00,₹ 75231587.00
