Motorcycle,Motor Car,Auto Rickshaw,Agriculture,Total Vehicle Sales,district
206819,51447,8397,20,282122,Hyderabad
154186,71832,69,449,246600,Rangareddy
164626,61071,83,261,244882,Medchal_Malkajgiri
40784,14565,3381,1570,65538,Sangareddy
27385,5880,2690,2121,42463,Khammam
27942,4927,964,2599,40742,Nalgonda
28105,5824,1011,1181,38691,Nizamabad
19411,4818,1042,999,37235,Karimnagar
23116,5211,2046,1814,34837,Vikarabad
19165,3038,739,2188,29906,Suryapet
17977,3300,1130,937,26124,Mahabubnagar
17022,3157,1388,2013,26063,Bhadradri Kothagudem
17401,3254,524,2437,25643,Siddipet
17770,2937,1331,681,24618,Warangal
14471,3216,465,1853,22637,Yadadri Bhuvanagiri
15184,2153,379,748,20757,Kamareddy
12229,2066,366,1556,19762,Nagarkurnool
11663,2347,610,1579,18294,Medak
13639,2055,272,858,17880,Jagtial
11603,2218,550,400,16512,Mancherial
11046,1155,680,906,15815,Mahabubabad
10818,2205,382,705,15351,Peddapalli
10984,1581,295,989,14984,Nirmal
10410,1416,368,467,14090,Adilabad
9225,1343,218,1928,13799,Jayashankar Bhupalpally
10300,899,116,868,13374,Jogulamba Gadwal
8771,1194,372,985,12736,Wanaparthy
8617,1177,397,1225,12520,Jangoan
8007,1376,148,675,11186,Rajanna Sircilla
6433,479,286,160,8599,Kumurambheem Asifabad
