Total investment (in Cr),Total Vehicle Sales,Estamps Challan rev (in Cr),month
3253.1378,262718,1550.1138261000003,Apr
1842.4952,199303,1007.8017099000002,May
4007.4984,281450,1459.2197792000002,Jun
4417.828,263812,1747.2093514,Jul
5102.218,277304,1606.4159546999997,Aug
2902.3626,247991,882.4675247999998,Sep
2558.1666,283920,1525.5827892999998,Oct
2573.0744,215615,1774.9347206999998,Nov
3853.5183,200699,1974.6363588,Dec
5283.9402,243399,1986.9842576,Jan
3253.1206,197985,1689.1018266,Feb
4605.4436,289801,2077.052304199999,Mar
